,Player,Salary 2022/23,MP,FG,FGA,2P,2PA,FT,FTA,AST,TOV,PTS,WS,VORP
190,Tyler Herro,5722116,35.4,7.5,16.7,4.2,8.3,2.8,3.1,4.5,2.6,21.1,2.2,1.2
191,Buddy Hield,21177750,31.9,6.5,14.2,2.6,5.1,1.1,1.3,2.7,1.8,18.1,2.3,1.3
192,Haywood Highsmith,1752638,19.4,1.8,4.4,1.1,2.3,0.2,0.6,0.8,0.8,4.5,0.4,-0.1
193,George Hill,4000000,20.0,1.7,3.9,1.0,1.8,1.1,1.5,2.6,0.9,5.0,1.1,-0.1
194,Malcolm Hill,508891,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,Aaron Holiday,1968175,16.7,1.8,4.2,1.1,2.6,0.6,0.7,1.5,0.6,4.9,0.8,0.0
196,Jrue Holiday,33665040,32.6,6.9,15.3,4.6,9.2,2.5,2.8,7.2,3.3,18.4,2.3,1.1
197,Justin Holiday,6292440,15.0,1.7,4.5,0.6,1.4,0.0,0.0,0.9,0.4,4.5,0.1,-0.2
198,Richaun Holmes,11215260,9.5,1.3,2.0,1.2,1.9,0.3,0.4,0.1,0.3,2.9,0.4,-0.1
199,Al Horford,26500000,30.5,3.6,7.3,1.5,2.7,0.2,0.3,2.5,0.6,9.4,2.4,1.0
200,Talen Horton-Tucker,10260000,15.6,2.5,6.6,1.9,3.9,1.0,1.3,2.3,1.2,6.7,0.1,-0.1
201,Danuel House Jr,4105000,17.4,1.7,3.6,1.0,1.5,0.9,1.2,0.8,0.5,5.0,0.9,-0.1
202,Caleb Houstan,2000000,18.2,1.5,3.8,0.5,1.0,0.4,0.5,0.7,0.4,4.5,0.5,-0.2
203,Trevor Hudgins,508891,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
204,Kevin Huerter,14508929,31.4,5.6,11.6,2.7,4.6,1.6,2.3,2.9,1.6,15.9,2.4,0.8
205,De'Andre Hunter,9835881,31.1,5.5,12.2,4.0,8.0,2.8,3.4,1.2,1.3,15.3,1.1,-0.3
206,Bones Hyland,2201520,20.9,4.6,11.2,2.1,5.1,1.7,2.0,3.4,1.9,13.4,0.7,0.3
207,Serge Ibaka,2905851,11.6,1.6,3.4,1.3,2.3,0.5,0.8,0.3,0.7,4.1,0.3,-0.1
208,Joe Ingles,6479000,18.5,1.6,5.4,0.4,0.8,0.4,0.4,3.4,2.1,4.9,-0.1,-0.2
209,Brandon Ingram,31650600,32.1,7.3,15.4,5.4,11.4,4.4,5.1,4.7,2.8,20.8,1.3,0.5
210,Kyrie Irving,36934550,36.4,9.8,19.7,6.7,11.4,3.6,4.0,4.6,2.3,26.2,3.1,1.3
211,Jaden Ivey,7252200,29.8,5.1,12.5,3.8,8.4,3.4,4.8,4.0,2.7,14.9,-0.2,-0.4
212,Isaiah Jackson,2573760,15.6,2.5,4.6,2.5,4.3,1.7,2.5,1.0,0.9,6.8,1.2,0.2
213,Jaren Jackson Jr,28946605,25.7,5.6,11.3,4.1,7.1,3.2,4.1,0.9,1.5,15.9,2.2,0.9
214,Justin Jackson,2133278,4.6,0.3,1.1,0.0,0.3,0.1,0.1,0.4,0.1,0.8,0.0,0.0
215,Reggie Jackson,11215260,28.7,4.5,10.6,2.9,6.2,1.5,1.6,3.8,2.1,12.1,0.8,-0.3
216,LeBron James,44474988,36.0,11.3,22.2,9.3,15.5,4.3,5.7,6.6,3.2,29.0,3.0,2.0
217,Ty Jerome,4728948,18.0,2.7,5.5,1.8,3.2,1.1,1.1,2.4,0.7,7.5,1.0,0.1
218,Isaiah Joe,1836090,13.0,2.3,4.8,0.6,1.0,0.8,1.0,1.1,0.5,7.1,1.5,0.6
219,Alize Johnson,192293,7.5,0.8,1.5,0.8,1.0,0.3,0.5,0.3,1.0,1.8,-0.1,-0.1
220,Cameron Johnson,5887899,25.3,4.6,10.4,1.9,4.0,1.0,1.4,1.8,0.3,13.0,0.7,0.3
221,Jalen Johnson,2792640,15.4,2.0,4.4,1.6,2.8,0.8,1.1,1.0,0.5,5.0,0.9,0.1
222,James Johnson,2905851,7.9,0.8,2.1,0.7,1.3,0.0,0.0,0.6,0.2,1.7,0.0,-0.1
223,Keldon Johnson,3873024,32.5,7.6,17.8,5.0,10.6,3.9,5.1,2.7,2.3,21.6,0.4,-0.1
