,Player,Salary 2022/23,Tm,Pos,MP,FG,FGA,2P,2PA,FT,FTA,TOV,PTS,WS,VORP
169,Jerami Grant,20955000,POR,PF,35.7,6.9,14.5,4.6,8.8,4.4,5.4,1.8,20.5,4.1,1.0
170,RaiQuan Gray,5849,BRK,PF,35.0,6.0,12.0,4.0,7.0,2.0,2.0,4.0,16.0,0.1,0.0
171,AJ Green,508891,MIL,SG,9.9,1.5,3.6,0.3,0.6,0.1,0.1,0.3,4.4,0.8,0.1
172,Danny Green,11710528,TOT,SG,12.5,2.0,4.5,0.5,1.1,0.1,0.1,0.9,5.5,0.2,0.0
173,Draymond Green,25806468,GSW,PF,31.5,3.4,6.5,2.9,4.7,1.1,1.5,2.8,8.5,4.7,1.6
174,Jalen Green,9441840,HOU,SG,34.2,7.4,17.9,5.0,10.6,4.8,6.1,2.6,22.1,1.9,0.0
175,JaMychal Green,8200000,GSW,PF,14.0,2.4,4.4,1.6,2.5,0.9,1.2,0.9,6.4,2.2,0.3
176,Javonte Green,1815677,CHI,SG,15.0,1.9,3.4,1.5,2.3,0.9,1.4,0.6,5.2,1.4,0.4
177,Jeff Green,4500000,DEN,PF,19.5,2.9,5.9,2.3,4.0,1.6,2.1,0.8,7.8,1.7,-0.4
178,Josh Green,3098400,DAL,SG,25.7,3.4,6.4,2.3,3.6,1.1,1.6,1.2,9.1,2.6,-0.2
179,AJ Griffin,3536160,ATL,SF,19.5,3.4,7.4,2.0,3.8,0.6,0.7,0.6,8.9,2.2,0.4
180,Blake Griffin,2905851,BOS,C,13.9,1.5,3.2,1.0,1.6,0.5,0.8,0.5,4.1,1.8,0.3
181,Quentin Grimes,2277000,NYK,SG,29.9,4.0,8.5,1.8,2.7,1.1,1.4,1.0,11.3,4.8,1.0
182,Rui Hachimura,6263188,TOT,PF,23.3,4.5,9.3,3.7,6.7,1.4,1.9,0.8,11.2,1.8,-0.1
183,Tyrese Haliburton,4215120,IND,PG,33.6,7.4,15.0,4.5,7.8,3.1,3.6,2.5,20.7,7.6,4.4
184,Jordan Hall,193027,SAS,SF,9.2,1.0,3.1,0.7,1.4,0.8,1.0,0.8,3.1,-0.1,-0.1
185,RJ Hampton,2898243,TOT,PG,16.0,2.2,5.0,1.3,2.6,1.2,1.6,0.9,6.4,0.7,-0.2
186,Tim Hardaway Jr,19602273,DAL,SG,30.3,4.8,11.9,1.8,4.2,1.8,2.3,0.8,14.4,2.3,0.1
187,James Harden,33000000,PHI,PG,36.8,6.4,14.5,3.6,7.3,5.4,6.2,3.4,21.0,8.4,4.0
188,Jaden Hardy,1017781,DAL,SG,14.8,3.0,6.9,1.7,3.7,1.4,1.6,1.0,8.8,0.7,0.0
189,Ron Harper Jr,508891,TOR,SF,5.3,0.9,1.8,0.6,0.8,0.1,0.1,0.0,2.2,0.2,0.0
190,Montrezl Harrell,2463490,PHI,C,11.9,2.2,3.7,2.2,3.6,1.2,1.8,0.6,5.6,2.2,0.1
